     i1   i2   i3   i4   i5   i6   i7   i8   i9  i10
 i1    0  137  125   39   56   30   45   65   11   42
 i2  137    0  129  133   71   75   58   54   22   65
 i3  125  129    0  229   25   75   86   69   34   84
 i4   39  133  229    0  167   82   80   62   28   39
 i5   56   71   25  167    0  151   96  150   42  131
 i6   30   75   75   82  151    0   79   74   56  150
 i7   45   58   86   80   96   79    0   78   38   26
 i8   65   54   69   62  150   74   78    0   69   51
 i9   11   22   34   28   42   56   38   69    0   72
 i10  42   65   84   39  131  150   26   51   72    0
